"","FID","Site","SOC","SAND","CLAY","ANPP_MAP_E","data_MAT","data_MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","predicted_GPP","rcew_DEM_3","ANPP","MAT","MAP","MIMSOC","MIMIC","SOC_error","ANPPbyMAP"
"32",43,"S36",1.155,82.445,10.38,706.351006,7.5,605.23,16.6,1.37,36.496,0,0,0,43.12453364,-116.7860349,"Johnston Draw",1630.11,"Southeast",22.2,3.73,"Nicholas_Patton",607.1430054,7.5,0.214884,38.8101006,316.2359924,1630.540039,308.1179962,7.5,607.1430054,3.94775441762752,0.0262527517284762,-2.79275441762752,0.50748834040673
"33",44,"S37",1.470181818,77.40709091,11.43563636,630.481982,7.6,559.31,16.6,1.37,36.496,0,0,0,43.12565165,-116.7811645,"Johnston Draw",1608.03,"Southeast",9,2.11,"Nicholas_Patton",561.1699829,7.5999999,0.148417,29.1259003,408.1010132,1608.01001,354.0505066,7.5999999,561.1699829,3.9959332611198,0.0301616698651923,-2.5257514431198,0.630914905266933
"34",45,"S38",0.782,78.13885714,10.04085714,730.456604,7.3,619.82,16.6,1.37,36.496,0,0,0,43.12568301,-116.78562,"Johnston Draw",1661.93,"Southeast",23.2,1.7,"Nicholas_Patton",620.1480103,7.3016901,0.0797509,31.1634998,424.7359924,1661.709961,362.3679962,7.3016901,620.1480103,4.03924456642767,0.0308674538575354,-3.25724456642767,0.584325016256526
"35",46,"S39",1.615,71.725,17.475,756.85876,7.1,635.8,16.6,1.37,36.496,0,0,0,43.12611188,-116.7890521,"Johnston Draw",1699.9,"Southwest",14.4,1.11,"Nicholas_Patton",635.9730225,7.1237402,0.138473,17.9342003,438.8479919,1699.619995,369.42399595,7.1237402,635.9730225,4.06643335456062,0.0314426277992483,-2.45143335456062,0.580879978993134
"36",47,"S40",1.124545455,79.06090909,10.56545455,765.94586,7.1,641.3,16.6,1.37,36.496,0,0,0,43.12633701,-116.788065,"Johnston Draw",1706.59,"South",19.8,0.42,"Nicholas_Patton",641.9979858,7.0999999,0.181163,51.5502014,281.394989,1706.609985,290.6974945,7.0999999,641.9979858,3.95125994848577,0.0247986098990816,-2.82671449348577,0.452801256280826
"37",48,"S41",0.78,75.69333333,14.255,764.425836,7.1,640.38,16.6,1.37,36.496,0,0,0,43.12667447,-116.7868472,"Johnston Draw",1710.94,"Southeast",16.7,0.67,"Nicholas_Patton",640.8530273,7.0999999,0.148294,58.0285988,551.1129761,1710.719971,425.55648805,7.0999999,640.8530273,4.13969854121209,0.0362419065972609,-3.35969854121209,0.664046934197887
"38",49,"S42",1.15,76.25166667,10.49,808.73784,6.9,667.2,16.6,1.37,36.496,0,0,0,43.12749278,-116.7897313,"Johnston Draw",1742.32,"Southeast",19,0.32,"Nicholas_Patton",661.7670288,6.9000001,0.0469767,21.0716991,309.7000122,1742.599976,304.8500061,6.9000001,661.7670288,4.00631189237289,0.0259815450962357,-2.85631189237289,0.460660614435253
"39",50,"S43",3.33,68.654,13.516,763.583214,6.9,639.87,16.6,1.37,36.496,0,0,0,43.12752508,-116.7925417,"Johnston Draw",1748.87,"Southeast",12.8,-0.47,"Nicholas_Patton",643.1760254,6.9000001,0.0691423,12.8083,509.7090149,1748.469971,404.85450745,6.9000001,643.1760254,4.13969022361118,0.0344726117605809,-0.809690223611178,0.629461440510342
"40",51,"S44",2.381090909,54.07272727,22.69254545,744.004644,6.8,628.02,16.6,1.37,36.496,0,0,0,43.12848567,-116.7966359,"Johnston Draw",1778.24,"Southeast",7.1,1.22,"Nicholas_Patton",628.2810059,6.8000002,0.16718,47.3296013,878.5880127,1778.150024,589.29400635,6.8000002,628.2810059,4.38804679484634,0.0501155310896733,-2.00695588584634,0.937946557059843
"41",52,"S45",8.014,44.21,21.93,744.979442,6.8,628.61,16.6,1.37,36.496,0,0,0,43.12863212,-116.7968813,"Johnston Draw",1781.22,"Southeast",7.3,-1.16,"Nicholas_Patton",628.9050293,6.8000002,0.771199,29.7826004,1295.589966,1781.459961,797.794983,6.8000002,628.9050293,4.67641781201675,0.0676733902165235,3.33758218798325,1.26854603768709
