OBJECTID,Site,SOC,SAND,CLAY,ANPP_MAP_E,MAT,MAP,LIG,N,CN,CDI,SAND2,CLAY2,LAT,LONG,L1,ELEVATION,ASPECT_CLA,SLOPE,CURVATURE,GOOGLE_DIR,Kormos_MAP,Kormos_MAT,canopy_hei,rcew_veg_c,predicted_,rcew_DEM_3,pred_MAP
21,S13,1.045,39.33833333,18.28666667,898.766218,6.3,721.69,16.6,1.37,36.496,0,0,0,43.12035214,-116.8005433,Johnston Draw,1868.44,Northeast,4.8,0.18,Nicholas_Patton,720.809021,6.3000002,0.0321222,0.130183,408.2449951,1868.469971,1056.597534
22,S14,3.391875,77.33546875,10.77265625,644.50916,7.1,567.8,16.6,1.37,36.496,0,0,0,43.12158715,-116.787974,Johnston Draw,1706.39,North,15,1.19,Nicholas_Patton,566.7940063,7.0999999,0.148066,19.3279991,662.1300049,1706.27002,862.7698975
23,S15,4.796181818,62.92254545,12.44527273,604.972014,7.4,543.87,16.6,1.37,36.496,0,0,0,43.12187239,-116.785596,Johnston Draw,1658.72,North,16.6,-1.21,Nicholas_Patton,546.2000122,7.3366199,0.113902,31.5130005,733.6820068,1658.670044,778.8060303
24,S16,2.916666667,64.66333333,20.20666667,571.052348,7.5,523.34,16.6,1.37,36.496,0,0,0,43.12197197,-116.782117,Johnston Draw,1630.31,Northeast,21.7,-5.33,Nicholas_Patton,523.447998,7.4977298,0.170057,45.6408005,1008.169983,1630.73999,716.1745605
25,S17,1.64,71.43333333,14.08333333,553.092934,7.7,512.47,16.6,1.37,36.496,0,0,0,43.1220937,-116.7801683,Johnston Draw,1585.13,Northeast,24.6,1.65,Nicholas_Patton,514.5770264,7.6999998,0.286869,55.4546013,600.4769897,1584.839966,602.9456787
26,S18,5.946666667,62.48333333,20.97666667,557.884314,7.6,515.37,16.6,1.37,36.496,0,0,0,43.12222251,-116.7817345,Johnston Draw,1615.04,Northeast,25.5,-2.36,Nicholas_Patton,516.4279785,7.55866,0.0566821,19.6371002,829.3690186,1614.880005,678.0743408
27,S19,8.456666667,58.71333333,17.39333333,557.834748,7.9,515.34,16.6,1.37,36.496,0,0,0,43.12231214,-116.779423,Johnston Draw,1552.1,Northeast,18.7,-4.25,Nicholas_Patton,516.6799927,7.9000001,0.0531045,2.0497401,644.1669922,1552.619995,534.197998
28,S20,13.04138889,60.92166667,20.75611111,627.24367,7.6,557.35,16.6,1.37,36.496,0,0,0,43.12258624,-116.7849555,Johnston Draw,1618.29,North,21.8,-5.6,Nicholas_Patton,557.742981,7.5564599,1.0643899,27.3262997,917.6279907,1617.76001,685.3942261
29,S21,3.035,37.76,18.48833333,827.837272,6.5,678.76,16.6,1.37,36.496,0,0,0,43.12283706,-116.7981045,Johnston Draw,1819.73,Northeast,16.9,-0.77,Nicholas_Patton,679.2290039,6.5083899,0.0785019,14.0452995,989.0089722,1819.869995,1002.945496
30,S22,3.310909091,66.47545455,12.32454545,605.170278,7.6,543.99,16.6,1.37,36.496,0,0,0,43.12292115,-116.782785,Johnston Draw,1613.62,North,19.7,0.72,Nicholas_Patton,544.9630127,7.5999999,0.341229,100,583.1110229,1613.51001,674.006958
