"","Site","SOC","SAND","CLAY","ANPP_MAP_E","MAT","MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","pGPP","rcew_DEM_3","pred_MAP","fW","MIMSOC","MIMMIC","residual","LITm","LITs","MICr","MICK","SOMp","SOMc","SOMa","MICsum","MICrat","SOMTOT","LITTOT"
"11","S15",4.796181818,62.92254545,12.44527273,604.972014,7.4,543.87,16.6,1.37,36.496,0,0,0,43.12187239,-116.785596,"Johnston Draw",1658.72,"North",16.6,-1.21,"Nicholas_Patton",546.2000122,7.3366199,0.113902,31.5130005,733.6820068,1658.670044,778.8060303,0.743252236,2.41792821140919,0.127758420887985,2.37825360659081,"0.663153737432247","2.80483238730369","0.107176436167188","0.318684966792762","1.7513902207236","1.51462067847912","0.899902277798681",0.42586140295995,0.336308415316258,4.1659131770014,3.46798612473594
"12","S16",2.916666667,64.66333333,20.20666667,571.052348,7.5,523.34,16.6,1.37,36.496,0,0,0,43.12197197,-116.782117,"Johnston Draw",1630.31,"Northeast",21.7,-5.33,"Nicholas_Patton",523.447998,7.4977298,0.170057,45.6408005,1008.169983,1630.73999,716.1745605,0.716260564,2.9965197145061,0.143641572568526,-0.0798530475061048,"0.74326621125589","3.16601946622303","0.120667262323937","0.358137979571152","2.67022833329623","1.7068009583884","1.22327883729504",0.478805241895089,0.336929533327989,5.60030812897967,3.90928567747892
"13","S17",1.64,71.43333333,14.08333333,553.092934,7.7,512.47,16.6,1.37,36.496,0,0,0,43.1220937,-116.7801683,"Johnston Draw",1585.13,"Northeast",24.6,1.65,"Nicholas_Patton",514.5770264,7.6999998,0.286869,55.4546013,600.4769897,1584.839966,602.9456787,0.66746342,2.24389808722175,0.119196243523346,-0.60389808722175,"0.611758890599856","2.60843474318421","0.10008774842846","0.297233063316028","1.58668597520139","1.40730055552645","0.868159314482774",0.397320811744488,0.336731544303479,3.86214584521061,3.22019363378407
"14","S18",5.946666667,62.48333333,20.97666667,557.884314,7.6,515.37,16.6,1.37,36.496,0,0,0,43.12222251,-116.7817345,"Johnston Draw",1615.04,"Northeast",25.5,-2.36,"Nicholas_Patton",516.4279785,7.55866,0.0566821,19.6371002,829.3690186,1614.880005,678.0743408,0.699840885,2.74486344163242,0.133459516290789,3.20180322536758,"0.687762658916423","2.93487012123271","0.11212385756083","0.3327411967418","2.34841932042591","1.58231902311194","1.15130862745178",0.44486505430263,0.336970169785846,5.08204697098963,3.62263278014913
"15","S19",8.456666667,58.71333333,17.39333333,557.834748,7.9,515.34,16.6,1.37,36.496,0,0,0,43.12231214,-116.779423,"Johnston Draw",1552.1,"Northeast",18.7,-4.25,"Nicholas_Patton",516.6799927,7.9000001,0.0531045,2.0497401,644.1669922,1552.619995,534.197998,0.637835904,2.36489923517771,0.122029774136466,6.09176743182229,"0.621558606145006","2.66006639455327","0.10251571386154","0.304250199926678","1.80113762122539","1.43459763000474","0.958871284875747",0.406765913788218,0.336945428092555,4.19460653610588,3.28162500069828
"16","S20",13.04138889,60.92166667,20.75611111,627.24367,7.6,557.35,16.6,1.37,36.496,0,0,0,43.12258624,-116.7849555,"Johnston Draw",1618.29,"North",21.8,-5.6,"Nicholas_Patton",557.742981,7.5564599,1.0643899,27.3262997,917.6279907,1617.76001,685.3942261,0.702995464,2.87311104641382,0.138509008141735,10.1682778435862,"0.713581273976231","3.04977375221879","0.116505241306378","0.345191452499405","2.51856520461914","1.64370507704734","1.18971481971211",0.461696693805783,0.337509056098597,5.35198510137859,3.76335502619502
"17","S21",3.035,37.76,18.48833333,827.837272,6.5,678.76,16.6,1.37,36.496,0,0,0,43.12283706,-116.7981045,"Johnston Draw",1819.73,"Northeast",16.9,-0.77,"Nicholas_Patton",679.2290039,6.5083899,0.0785019,14.0452995,989.0089722,1819.869995,1002.945496,0.839847431,2.98832825828435,0.142521578199048,0.046671741715655,"0.76599382129198","3.237789667362","0.119858382575811","0.355213544754349","2.52456763938616","1.74457643775566","1.21309470115518",0.47507192733016,0.337426273141414,5.482238778297,4.00378348865398
"18","S22",3.310909091,66.47545455,12.32454545,605.170278,7.6,543.99,16.6,1.37,36.496,0,0,0,43.12292115,-116.782785,"Johnston Draw",1613.62,"North",19.7,0.72,"Nicholas_Patton",544.9630127,7.5999999,0.341229,100,583.1110229,1613.51001,674.006958,0.698088005,2.19140902969789,0.117929950096202,1.11950006130211,"0.606981121549001","2.59233635336883","0.0992549379719904","0.293844895682016","1.49195826628445","1.3981731618283","0.822148028975044",0.393099833654006,0.337780030997711,3.71227945708779,3.19931747491783
"19","S23",0.976666667,13.055,62.945,541.08144,8.1,505.2,16.6,1.37,36.496,0,0,0,43.12298817,-116.776913,"Johnston Draw",1509.35,"Southeast",7.9,-0.52,"Nicholas_Patton",506.0570068,8.1150398,0.0754072,13.8839998,407.0710144,1509.400024,446.1410522,0.599886862,3.07766733764701,0.105633982508166,-2.10100067064701,"0.533253850612517","2.2834974285199","0.0886768497696961","0.263436425257523","4.11260113423864","1.23255865787889","1.74486677921286",0.352113275027219,0.336615749636785,7.09002657133039,2.81675127913242
"20","S24",9.036666667,53.64,15.81888889,724.31042,7,616.1,16.6,1.37,36.496,0,0,0,43.12303246,-116.7927984,"Johnston Draw",1729.91,"Northeast",20,-1.91,"Nicholas_Patton",620.5009766,7,3.33413,95.1225967,1697.349976,1729.75,895.8040771,0.793673741,3.80113191204063,0.177493782721081,5.23553475495937,"0.93654314860405","3.95173975607786","0.149101729201029","0.442544213202575","3.66895417109424","2.13071188626487","1.39084480235749",0.591645942403604,0.336919396419217,7.1905108597166,4.88828290468191
