"Site","SOC","SAND","CLAY","ANPP_MAP_EST","MAT","MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLASS","SLOPE","CURVATURE","GOOGLE_DIR"
"S38",0.782,78.1388571428571,10.0408571428571,730.456604,7.3,619.82,16.6,1.37,36.496,0,0,0,43.12568301,-116.78562,"Johnston Draw","1661.93","Southeast","23.2","1.7","Nicholas_Patton"
"S39",1.615,71.725,17.475,756.85876,7.1,635.8,16.6,1.37,36.496,0,0,0,43.12611188,-116.7890521,"Johnston Draw","1699.9","Southwest","14.4","1.11","Nicholas_Patton"
"S40",1.12454545454545,79.0609090909091,10.5654545454545,765.94586,7.1,641.3,16.6,1.37,36.496,0,0,0,43.12633701,-116.788065,"Johnston Draw","1706.59","South","19.8","0.42","Nicholas_Patton"
"S41",0.78,75.6933333333333,14.255,764.425836,7.1,640.38,16.6,1.37,36.496,0,0,0,43.12667447,-116.7868472,"Johnston Draw","1710.94","Southeast","16.7","0.67","Nicholas_Patton"
"S42",1.15,76.2516666666667,10.49,808.73784,6.9,667.2,16.6,1.37,36.496,0,0,0,43.12749278,-116.7897313,"Johnston Draw","1742.32","Southeast","19","0.32","Nicholas_Patton"
"S43",3.33,68.654,13.516,763.583214,6.9,639.87,16.6,1.37,36.496,0,0,0,43.12752508,-116.7925417,"Johnston Draw","1748.87","Southeast","12.8","-0.47","Nicholas_Patton"
"S44",2.38109090909091,54.0727272727273,22.6925454545455,744.004644,6.8,628.02,16.6,1.37,36.496,0,0,0,43.12848567,-116.7966359,"Johnston Draw","1778.24","Southeast","7.1","1.22","Nicholas_Patton"
"S45",8.014,44.21,21.93,744.979442,6.8,628.61,16.6,1.37,36.496,0,0,0,43.12863212,-116.7968813,"Johnston Draw","1781.22","Southeast","7.3","-1.16","Nicholas_Patton"
"S46",4.1542,72.6544,17.443,775.429488,6.8,647.04,16.6,1.37,36.496,0,0,0,43.12875942,-116.7929445,"Johnston Draw","1774.37","Southeast","15.8","-0.99","Nicholas_Patton"
"S47",1.82,69.02,11.26,769.74592,6.7,643.6,16.6,1.37,36.496,0,0,0,43.12971095,-116.7934963,"Johnston Draw","1787.2","East","13.4","-0.69","Nicholas_Patton"
"S48",1.28333333333333,47.4583333333333,19.4316666666667,746.152504,6.7,629.32,16.6,1.37,36.496,0,0,0,43.13058584,-116.7985533,"Johnston Draw","1799.81","East","10.5","0.26","Nicholas_Patton"
"S49",3.56952380952381,59.8114285714286,20.7238095238095,749.109942,6.7,631.11,16.6,1.37,36.496,0,0,0,43.13104556,-116.7960652,"Johnston Draw","1788.23","Southwest","2.7","0.02","Nicholas_Patton"
"S50",1.78333333333333,62.605,12.3316666666667,789.770584,6.6,655.72,16.6,1.37,36.496,0,0,0,43.13301998,-116.7920531,"Johnston Draw","1809.04","West","5.7","0.24","Nicholas_Patton"
"S51",1.24722222222222,57.9416666666667,12.0133333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,"S25Aa",NA,NA,NA,NA,"Ryan_Will"
"S51",1.24722222222222,57.9416666666667,12.0133333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,"S25Ab",NA,NA,NA,NA,"Ryan_Will"
"S51",1.24722222222222,57.9416666666667,12.0133333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14377305,-116.7690419,"S25Ac",NA,NA,NA,NA,"Ryan_Will"
"S52",0.863888888888889,17.9533333333333,23.2333333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,"S12Aa",NA,NA,NA,NA,"Ryan_Will"
"S52",0.863888888888889,17.9533333333333,23.2333333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,"S12Ab",NA,NA,NA,NA,"Ryan_Will"
"S52",0.863888888888889,17.9533333333333,23.2333333333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,"S12Ac",NA,NA,NA,NA,"Ryan_Will"
"S53",0.587352941176471,24.2529411764706,38.6535294117647,302.487238,8.2,360.79,16.6,1.37,36.496,0,0,0,43.14393712,-116.7367838,"Lower Sheep Creek","1614.47","Northwest","9.8","0.65","Nicholas_Patton"
"S54",0.576129032258065,26.7951612903226,26.3864516129032,290.987926,8.2,353.83,16.6,1.37,36.496,0,0,0,43.1439637,-116.7353485,"Lower Sheep Creek","1618.39","North","4.4","0.18","Nicholas_Patton"
"S55",0.928333333333333,24.1933333333333,25.87,289.567034,8.2,352.97,16.6,1.37,36.496,0,0,0,43.14459543,-116.73561,"Lower Sheep Creek","1609.77","North","7.7","-1.58","Nicholas_Patton"
"S56",0.397777777777778,34.3333333333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,"S4Aa",NA,NA,NA,NA,"Ryan_Will"
"S56",0.397777777777778,34.3333333333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,"S4Ab",NA,NA,NA,NA,"Ryan_Will"
"S56",0.397777777777778,34.3333333333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,"S4Ac",NA,NA,NA,NA,"Ryan_Will"
"S57",0.571666666666667,24.035,33.6933333333333,178.704414,8.7,285.87,16.6,1.37,36.496,0,0,0,43.16761023,-116.7130538,"Nancy Gulch","1423.26","Northeast","6.3","0.75","Nicholas_Patton"
"S58",0.57825,53.541125,18.4965,149.09699,8.8,267.95,16.6,1.37,36.496,0,0,0,43.18051979,-116.7138797,"Nancy Gulch","1358.33","West","6","0.42","Nicholas_Patton"
"S59",0.645476190476191,60.0030952380952,13.1045238095238,144.47083,8.9,265.15,16.6,1.37,36.496,0,0,0,43.18077561,-116.7145575,"Nancy Gulch","1349.48","Northwest","7.5","0.25","Nicholas_Patton"
"S60",1.52166666666667,70.25,7.375,616.33915,7.2,550.75,16.6,1.37,36.496,0,0,0,43.18866189,-116.8130672,"Whiskey Hill","1649.89","Northwest","9.48999","-1.49","Nicholas_Patton"
"S61",0.648333333333333,57.9166666666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,"S2Aa",NA,NA,NA,NA,"Ryan_Will"
"S61",0.648333333333333,57.9166666666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,"S2Ab",NA,NA,NA,NA,"Ryan_Will"
"S61",0.648333333333333,57.9166666666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,"S2Ac",NA,NA,NA,NA,"Ryan_Will"
"S62",1.22538461538462,76.9625641025641,12.4471794871795,558.082578,7.5,515.49,16.6,1.37,36.496,0,0,0,43.19159234,-116.8095646,"Whiskey Hill","1600.85","Northwest","18.7613","1.09","Nicholas_Patton"
"S63",2.37,55.5883333333333,14.1816666666667,548.499818,7.7,509.69,16.6,1.37,36.496,0,0,0,43.19214026,-116.8079732,"Whiskey Hill","1561.52","Northeast","26.4441","-7.44","Nicholas_Patton"
